001,Rio de Janeiro,A,6775561,1258743.00,985432.00,5,0
002,Mesquita ,B,3857,3583.00,1349.00,5,0
003,Belford Roxo,A,342870,394.00,347.00,2,0
004,Nova Iguaçu,B,348071,483162.00,38413.00,5,0
005,Maggé,A,5000,5000.00,5000.00,5,0
006,Duque de Caxias,B,895412,12950.00,11530.00,4,0
007,Itaboraí,A,250000,7421.00,5894.00,3,0
008,São Gonçalo,B,1053721,35483.00,27592.00,5,0
009,Niterói,A,515317,68423.00,53210.00,5,0
010,Maricá,B,185000,14325.00,9873.00,4,0
011,Tanguá,A,35000,2132.00,1804.00,2,0
012,Rio Bonito,B,57890,3201.00,2765.00,3,0
013,Cabo Frio,A,230742,19842.00,15412.00,4,0
014,Araruama,B,133258,11238.00,8532.00,4,0
015,São Pedro da Aldeia,A,100000,8421.00,6250.00,3,0
016,Resende,B,130435,15432.00,12732.00,4,0
017,Barra Mansa,A,184678,20482.00,17534.00,4,0
018,Volta Redonda,B,273988,31492.00,26834.00,5,0
019,Angra dos Reis,A,207044,25673.00,21945.00,5,0
020,Paraty,B,43987,6842.00,5120.00,3,0
